사이트,회사명,제목,링크
사람인,HR컨설팅(주),취약점진단 및 보안관제 CERT 경력(그룹사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54096994&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,제노솔루션(주),[제노솔루션] 모의해킹 /취약점점검 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53904743&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)에이치알비즈코리아,[정보보안 분석] 보안취약점점검 및 조치 이행/세계적게임사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54037613&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주) 케인앤클루컨설팅,보안취약점진단 사원(대리)급 경력사원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54092511&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,탑커리어인사이트,보안취약점진단(Frida) / IT서비스기업 [대리급],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54027310&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,그레이스앤파트너스(주),보안진단(취약점진단/보안성검토)/(3~ 8년) - 금융그룹 ICT,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54057235&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,엠케이에스코리아(유),엠케이에스코리아(유)|아토텍코리아㈜ 각 부문 경력/신입 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53887168&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)엘아이지시스템,LIG시스템 각 부문별 신입/경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53903007&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)에이치엘클레무브,'26 신입/경력 채용 (R&D(전문연구요원 포함)/품질/IT/시설안전),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54088303&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
사람인,(주)엘지씨엔에스,[LG CNS] 보안 분야 전 영역 전문가 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53947937&location=ts&searchword=%EC%B7%A8%EC%95%BD%EC%A0%90&searchType=search&paid_fl=n&search_uuid=93c61460-f972-45ed-b9c3-31fc59f03dd4
